指标名称,唐山市AQI全国当日排名,唐山市PM2.5,唐山市AQI
2019/2/3,65,79,122
2019/2/4,58,104,137
2019/2/5,133,80,141
2019/2/6,201,41,65
2019/2/7,207,26,50
2019/2/8,96,45,63
2019/2/9,175,31,49
2019/2/10,141,41,58
2019/2/11,61,82,109
2019/2/12,99,49,78
2019/2/13,144,44,65
2019/2/14,153,42,59
2019/2/15,196,26,50
2019/2/16,222,24,44
2019/2/17,179,32,52
2019/2/18,64,69,93
2019/2/19,53,116,152
2019/2/20,120,75,100
2019/2/21,65,114,149
2019/2/22,16,192,242
2019/2/23,96,97,128
2019/2/24,112,83,110
2019/2/25,148,47,76
2019/2/26,125,62,89
2019/2/27,96,73,98
2019/2/28,35,125,165
2019/3/1,19,159,209
2019/3/2,41,125,165
2019/3/3,39,126,166
2019/3/4,26,132,175
2019/3/5,21,143,190
2019/3/6,165,24,59
2019/3/7,90,42,73
2019/3/8,77,55,80
2019/3/9,14,88,117
2019/3/10,62,79,105
2019/3/11,140,49,69
2019/3/12,292,17,46
2019/3/13,204,25,62
2019/3/14,148,32,63
2019/3/15,312,16,42
2019/3/16,85,44,77
2019/3/17,60,62,88
2019/3/18,11,93,123
2019/3/19,15,96,127
2019/3/20,67,68,92
2019/3/21,297,24,43
2019/3/22,112,31,56
2019/3/23,257,17,42
2019/3/24,139,36,69
2019/3/25,118,40,72
2019/3/26,8,45,133
2019/3/27,74,56,92
2019/3/28,228,23,53
2019/3/29,170,33,65
2019/3/30,293,16,48
2019/3/31,204,23,54
2019/4/1,122,34,69
2019/4/2,102,40,72
2019/4/3,63,48,89
2019/4/4,35,89,123
2019/4/5,9,32,173
2019/4/6,130,29,81
2019/4/7,172,28,72
2019/4/8,173,28,67
2019/4/9,91,24,59
2019/4/10,158,30,55
2019/4/11,109,47,65
2019/4/12,61,68,92
2019/4/13,3,127,168
2019/4/14,93,33,67
2019/4/15,114,38,74
2019/4/16,16,69,122
2019/4/17,46,69,107
2019/4/18,11,48,138
2019/4/19,161,27,69
2019/4/20,175,37,64
2019/4/21,63,68,93
2019/4/22,16,97,128
2019/4/23,14,92,122
2019/4/24,189,37,67
2019/4/25,235,21,49
2019/4/26,145,31,61
2019/4/27,182,41,58
2019/4/28,59,56,77
2019/4/29,38,73,98
2019/4/30,32,72,97
2019/5/1,185,25,65
2019/5/2,123,26,82
2019/5/3,24,41,121
2019/5/4,10,44,139
2019/5/5,135,28,72
2019/5/6,167,21,58
2019/5/7,126,29,65
2019/5/8,62,56,86
2019/5/9,14,96,138
2019/5/10,39,62,130
2019/5/11,54,91,127
2019/5/12,114,77,110
2019/5/13,164,28,74
2019/5/14,27,45,127
2019/5/15,25,64,137
2019/5/16,31,73,137
2019/5/17,110,42,74
2019/5/18,144,29,65
2019/5/19,139,34,67
2019/5/20,279,14,44
2019/5/21,204,17,69
2019/5/22,108,25,95
2019/5/23,18,64,180
2019/5/24,57,72,127
2019/5/25,36,66,147
2019/5/26,88,54,74
2019/5/27,205,12,49
2019/5/28,74,15,80
2019/5/29,8,45,142
2019/5/30,29,30,110
2019/5/31,197,13,60
2019/6/1,103,30,87
2019/6/2,11,56,161
2019/6/3,34,53,138
2019/6/4,195,45,67
2019/6/5,81,67,90
2019/6/6,35,70,94
2019/6/7,36,50,124
2019/6/8,113,50,79
2019/6/9,144,38,69
2019/6/10,79,38,104
2019/6/11,103,55,95
2019/6/12,3,54,198
2019/6/13,55,75,110
2019/6/14,102,61,103
2019/6/15,172,37,75
2019/6/16,191,26,57
2019/6/17,53,43,104
2019/6/18,7,64,192
2019/6/19,44,53,107
2019/6/20,4,62,157
2019/6/21,101,37,69
2019/6/22,56,21,110
2019/6/23,50,46,121
2019/6/24,1,49,206
2019/6/25,4,38,181
2019/6/26,58,29,110
2019/6/27,12,53,167
2019/6/28,37,37,95
2019/6/29,38,42,95
2019/6/30,84,25,81
2019/7/1,96,28,93
2019/7/2,193,36,68
2019/7/3,42,34,141
2019/7/4,13,36,179
2019/7/5,56,43,115
2019/7/6,184,32,52
2019/7/7,176,39,59
2019/7/8,21,39,103
2019/7/9,105,50,73
2019/7/10,162,36,65
2019/7/11,44,45,103
2019/7/12,7,35,143
2019/7/13,55,38,112
2019/7/14,58,58,115
2019/7/15,21,48,149
2019/7/16,162,35,67
2019/7/17,60,55,84
2019/7/18,75,52,80
2019/7/19,51,35,87
2019/7/20,180,42,59
2019/7/21,33,62,128
2019/7/22,23,54,133
2019/7/23,50,37,85
2019/7/24,12,47,150
2019/7/25,27,42,115
2019/7/26,27,43,131
2019/7/27,27,58,114
2019/7/28,89,40,75
2019/7/29,83,53,73
2019/7/30,20,22,114
2019/7/31,7,41,150
2019/8/1,19,47,122
2019/8/2,136,32,54
2019/8/3,82,26,71
2019/8/4,94,38,64
2019/8/5,170,31,52
2019/8/6,195,24,48
2019/8/7,169,33,57
2019/8/8,13,40,117
2019/8/9,128,29,65
2019/8/10,213,22,42
2019/8/11,205,15,45
2019/8/12,294,8,30
2019/8/13,307,9,29
2019/8/14,228,17,60
2019/8/15,97,30,91
2019/8/16,251,12,53
2019/8/17,247,12,48
2019/8/18,198,24,67
2019/8/19,2,45,189
2019/8/20,194,39,64
2019/8/21,204,24,59
2019/8/22,199,20,57
2019/8/23,204,19,55
2019/8/24,61,24,120
2019/8/25,38,24,112
2019/8/26,46,54,90
2019/8/27,24,47,84
2019/8/28,223,13,44
2019/8/29,259,10,40
2019/8/30,190,14,53
2019/8/31,29,22,103
2019/9/1,13,27,118
2019/9/2,1,43,163
2019/9/3,3,52,156
2019/9/4,30,50,108
2019/9/5,10,43,140
2019/9/6,12,52,151
2019/9/7,31,85,151
2019/9/8,2,65,191
2019/9/9,57,78,127
2019/9/10,146,18,59
2019/9/11,84,24,70
2019/9/12,97,30,70
2019/9/13,229,25,40
2019/9/14,77,34,67
2019/9/15,6,49,120
2019/9/16,158,23,56
2019/9/17,95,28,74
2019/9/18,165,18,54
2019/9/19,113,18,67
2019/9/20,47,51,90
2019/9/21,11,91,120
2019/9/22,122,45,82
2019/9/23,66,38,100
2019/9/24,246,24,60
2019/9/25,154,24,86
2019/9/26,64,40,119
2019/9/27,112,58,100
2019/9/28,35,88,134
2019/9/29,61,80,132
2019/9/30,50,70,130
2019/10/1,85,55,111
2019/10/2,61,57,108
2019/10/3,97,69,93
2019/10/4,190,17,44
2019/10/5,103,14,50
2019/10/6,21,30,78
2019/10/7,39,45,65
2019/10/8,89,19,60
2019/10/9,23,34,83
2019/10/10,104,46,64
2019/10/11,80,37,72
2019/10/12,86,26,67
2019/10/13,97,28,62
2019/10/14,71,24,57
2019/10/15,10,34,82
2019/10/16,21,44,83
2019/10/17,115,49,68
2019/10/18,61,71,95
2019/10/19,2,150,200
2019/10/20,10,127,168
2019/10/21,160,25,78
2019/10/22,57,48,102
2019/10/23,3,128,169
2019/10/24,13,99,130
2019/10/25,140,16,53
2019/10/26,31,37,79
2019/10/27,22,71,101
2019/10/28,74,45,110
2019/10/29,115,29,78
2019/10/30,66,70,117
2019/10/31,52,74,109
2019/11/1,189,29,65
2019/11/2,76,45,100
2019/11/3,163,35,63
2019/11/4,98,60,85
2019/11/5,145,56,77
2019/11/6,88,44,92
2019/11/7,186,24,60
2019/11/8,87,48,88
2019/11/9,6,155,205
2019/11/10,191,52,72
2019/11/11,164,23,74
2019/11/12,49,50,101
2019/11/13,133,24,61
2019/11/14,47,38,83
2019/11/15,105,42,77
2019/11/16,174,41,73
2019/11/17,121,55,98
2019/11/18,134,22,74
2019/11/19,199,24,59
2019/11/20,35,70,109
2019/11/21,6,142,189
2019/11/22,19,126,166
2019/11/23,43,101,133
2019/11/24,153,32,57
2019/11/25,92,23,55
2019/11/26,41,50,78
2019/11/27,109,29,63
2019/11/28,60,38,75
2019/11/29,14,90,119
2019/11/30,11,109,143
2019/12/1,218,26,48
2019/12/2,254,16,42
2019/12/3,106,42,73
2019/12/4,111,54,77
2019/12/5,143,45,67
2019/12/6,105,58,79
2019/12/7,61,106,139
2019/12/8,39,143,190
2019/12/9,36,153,203
2019/12/10,14,184,234
2019/12/11,296,20,47
2019/12/12,203,26,73
2019/12/13,141,63,94
2019/12/14,265,27,57
2019/12/15,115,53,85
2019/12/16,56,82,109
2019/12/17,246,35,50
2019/12/18,215,23,48
2019/12/19,153,32,59
2019/12/20,116,37,74
2019/12/21,106,61,85
2019/12/22,53,115,150
2019/12/23,90,86,114
2019/12/24,148,53,78
2019/12/25,64,90,119
2019/12/26,131,41,66
2019/12/27,77,66,95
2019/12/28,17,141,188
2019/12/29,26,125,165
2019/12/30,262,20,48
2019/12/31,154,31,58
2020/1/1,90,71,95
2020/1/2,110,85,113
2020/1/3,100,106,139
2020/1/4,162,77,103
2020/1/5,143,71,95
2020/1/6,58,87,115
2020/1/7,110,48,67
2020/1/8,168,28,63
2020/1/9,85,60,98
2020/1/10,104,64,89
2020/1/11,168,29,60
2020/1/12,135,52,77
2020/1/13,187,44,68
2020/1/14,168,61,87
2020/1/15,86,93,123
2020/1/16,74,98,129
2020/1/17,107,86,114
2020/1/18,2,245,295
2020/1/19,106,74,99
2020/1/20,225,35,59
2020/1/21,151,64,87
2020/1/22,14,193,243
2020/1/23,29,174,224
2020/1/24,87,75,100
2020/1/25,54,139,185
2020/1/26,6,220,270
2020/1/27,4,243,293
2020/1/28,35,106,139
2020/1/29,189,42,59
2020/1/30,223,32,52
2020/1/31,73,82,109
2020/2/1,264,31,51
2020/2/2,143,44,62
2020/2/3,246,28,45
2020/2/4,154,33,53
2020/2/5,158,29,54
2020/2/6,82,48,67
2020/2/7,39,80,107
2020/2/8,60,75,100
2020/2/9,13,135,179
2020/2/10,1,194,244
2020/2/11,4,163,213
2020/2/12,7,149,199
2020/2/13,6,150,200
2020/2/14,75,48,75
2020/2/15,173,17,37
2020/2/16,218,14,39
2020/2/17,244,15,40
2020/2/18,64,35,64
2020/2/19,25,93,123
2020/2/20,62,85,113
2020/2/21,22,93,123
2020/2/22,306,19,42
2020/2/23,164,50,70
2020/2/24,17,78,131
2020/2/25,168,43,64
2020/2/26,174,44,62
2020/2/27,155,37,57
2020/2/28,37,59,80
2020/2/29,18,85,113
2020/3/1,29,61,83
2020/3/2,112,38,56
2020/3/3,155,35,50
2020/3/4,278,18,37
2020/3/5,64,35,68
2020/3/6,10,92,122
2020/3/7,12,105,138
2020/3/8,23,107,140
2020/3/9,61,63,85
2020/3/10,245,30,47
2020/3/11,50,52,82
2020/3/12,64,51,82
2020/3/13,237,22,46
2020/3/14,188,28,54
2020/3/15,240,26,57
2020/3/16,192,29,61
2020/3/17,84,48,74
2020/3/18,39,55,101
2020/3/19,286,14,42
2020/3/20,95,47,87
2020/3/21,63,35,89
2020/3/22,156,36,64
2020/3/23,95,49,74
2020/3/24,41,69,93
2020/3/25,76,65,88
2020/3/26,125,30,60
2020/3/27,184,12,41
2020/3/28,195,16,40
2020/3/29,87,29,60
2020/3/30,91,51,71
2020/3/31,79,56,77
2020/4/1,245,18,44
2020/4/2,164,26,55
2020/4/3,179,33,59
2020/4/4,14,27,110
2020/4/5,139,29,69
2020/4/6,14,79,114
2020/4/7,114,35,77
2020/4/8,204,28,66
2020/4/9,226,33,63
2020/4/10,210,36,61
2020/4/11,113,37,66
2020/4/12,104,36,74
2020/4/13,180,44,74
2020/4/14,41,81,114
2020/4/15,40,70,117
2020/4/16,152,63,85
2020/4/17,139,36,82
2020/4/18,96,56,79
2020/4/19,40,73,100
2020/4/20,274,14,45
2020/4/21,242,11,44
2020/4/22,238,12,45
2020/4/23,204,13,49
2020/4/24,171,17,64
2020/4/25,224,22,57
2020/4/26,235,26,58
2020/4/27,201,42,70
2020/4/28,18,48,129
2020/4/29,17,48,142
2020/4/30,1,100,203
2020/5/1,6,74,176
2020/5/2,59,48,119
2020/5/3,178,48,70
2020/5/4,128,30,73
2020/5/5,129,43,68
2020/5/6,18,69,111
2020/5/7,35,60,82
2020/5/8,180,34,50
2020/5/9,147,38,56
2020/5/10,130,32,74
2020/5/11,231,16,58
2020/5/12,244,17,57
2020/5/13,12,38,128
2020/5/14,91,39,84
2020/5/15,212,31,59
2020/5/16,149,51,70
2020/5/17,121,41,82
2020/5/18,69,28,80
2020/5/19,204,21,70
2020/5/20,51,51,127
2020/5/21,149,47,65
2020/5/22,120,34,75
2020/5/23,234,35,52
2020/5/24,136,23,71
2020/5/25,91,38,68
2020/5/26,89,34,75
2020/5/27,155,38,61
2020/5/28,20,47,136
2020/5/29,51,44,100
2020/5/30,18,44,117
2020/5/31,245,18,48
2020/6/1,43,21,117
2020/6/2,33,32,107
2020/6/3,55,50,116
2020/6/4,113,27,79
2020/6/5,131,21,75
2020/6/6,138,31,80
2020/6/7,7,60,203
2020/6/8,7,68,183
2020/6/9,83,40,74
2020/6/10,41,49,103
2020/6/11,47,68,92
2020/6/12,26,54,117
2020/6/13,3,52,179
2020/6/14,101,17,70
2020/6/15,24,23,119
2020/6/16,1,40,191
2020/6/17,25,23,100
2020/6/18,71,32,84
2020/6/19,6,42,158
2020/6/20,10,39,156
2020/6/21,5,55,170
2020/6/22,3,37,136
2020/6/23,128,38,59
2020/6/24,67,46,92
2020/6/25,129,33,72
2020/6/26,21,45,104
2020/6/27,14,62,154
2020/6/28,5,42,128
2020/6/29,69,42,84
2020/6/30,8,44,157
2020/7/1,5,54,167
2020/7/2,121,29,71
2020/7/3,89,47,74
2020/7/4,4,34,117
2020/7/5,33,40,102
2020/7/6,25,60,130
2020/7/7,63,33,100
2020/7/8,46,38,112
2020/7/9,79,39,80
2020/7/10,24,43,98
2020/7/11,5,59,123
2020/7/12,115,41,60
2020/7/13,78,29,71
2020/7/14,15,32,117
2020/7/15,11,40,132
2020/7/16,3,50,169
2020/7/17,30,63,98
2020/7/18,127,33,53
2020/7/19,47,30,75
2020/7/20,1,34,154
2020/7/21,11,40,147
2020/7/22,29,41,110
2020/7/23,21,37,121
2020/7/24,7,38,145
2020/7/25,5,47,163
2020/7/26,103,36,68
2020/7/27,18,43,104
2020/7/28,49,46,90
2020/7/29,10,56,120
2020/7/30,3,70,145
2020/7/31,74,34,68
2020/8/1,13,35,102
2020/8/2,3,25,124
2020/8/3,12,34,99
2020/8/4,2,50,130
2020/8/5,46,51,70
2020/8/6,65,34,60
2020/8/7,24,20,81
2020/8/8,85,23,65
2020/8/9,36,36,97
2020/8/10,30,20,104
2020/8/11,2,56,167
2020/8/12,49,42,66
2020/8/13,36,26,71
2020/8/14,10,34,117
2020/8/15,56,46,64
2020/8/16,73,46,64
2020/8/17,59,52,72
2020/8/18,127,38,60
2020/8/19,178,19,42
2020/8/20,120,14,48
2020/8/21,66,19,66
2020/8/22,8,30,124
2020/8/23,3,46,153
2020/8/24,110,22,63
2020/8/25,2,34,144
2020/8/26,50,70,94
2020/8/27,214,38,60
2020/8/28,110,17,91
2020/8/29,65,52,105
2020/8/30,124,36,82
2020/8/31,42,44,94
2020/9/1,166,14,62
2020/9/2,226,17,53
2020/9/3,278,14,40
2020/9/4,178,15,62
2020/9/5,14,40,137
2020/9/6,46,49,133
2020/9/7,72,48,115
2020/9/8,175,19,55
2020/9/9,160,13,53
2020/9/10,224,12,40
2020/9/11,259,12,35
2020/9/12,185,23,49
2020/9/13,143,34,57
2020/9/14,49,46,73
2020/9/15,140,34,50
2020/9/16,234,13,34
2020/9/17,216,11,39
2020/9/18,109,15,59
2020/9/19,67,28,82
2020/9/20,95,26,60
2020/9/21,82,20,64
2020/9/22,47,38,77
2020/9/23,72,24,65
2020/9/24,126,43,60
2020/9/25,15,74,99
2020/9/26,5,86,114
2020/9/27,81,55,75
2020/9/28,8,63,108
2020/9/29,97,33,56
2020/9/30,150,24,53
2020/10/1,179,34,55
2020/10/2,185,28,45
2020/10/3,45,25,63
2020/10/4,198,17,34
2020/10/5,105,14,49
2020/10/6,17,34,77
2020/10/7,21,50,80
2020/10/8,3,99,130
2020/10/9,10,86,114
2020/10/10,5,116,152
2020/10/11,70,72,97
2020/10/12,163,19,58
2020/10/13,72,27,72
2020/10/14,106,22,53
2020/10/15,15,67,90
2020/10/16,15,61,83
2020/10/17,49,26,70
2020/10/18,4,92,122
2020/10/19,1,125,165
2020/10/20,21,97,128
2020/10/21,73,49,100
2020/10/22,167,28,60
2020/10/23,205,18,59
2020/10/24,58,33,84
2020/10/25,34,71,103
2020/10/26,9,125,165
2020/10/27,191,38,60
2020/10/28,111,23,69
2020/10/29,31,45,94
2020/10/30,48,61,98
2020/10/31,11,77,139
2020/11/1,62,34,85
2020/11/2,205,20,52
2020/11/3,208,22,53
2020/11/4,20,51,92
2020/11/5,21,74,104
2020/11/6,52,59,94
2020/11/7,39,39,98
2020/11/8,244,22,54
2020/11/9,223,30,64
2020/11/10,41,69,103
2020/11/11,10,112,147
2020/11/12,8,126,166
2020/11/13,117,46,79
2020/11/14,96,45,87
2020/11/15,24,114,149
2020/11/16,101,75,100
2020/11/17,36,88,117
2020/11/18,58,44,62
2020/11/19,283,22,32
2020/11/20,33,31,67
2020/11/21,22,54,74
2020/11/22,182,25,38
2020/11/23,161,22,45
2020/11/24,89,40,69
2020/11/25,75,65,88
2020/11/26,162,30,57
2020/11/27,138,36,58
2020/11/28,232,21,42
2020/11/29,117,36,70
2020/11/30,202,27,55
2020/12/1,100,63,85
2020/12/2,122,47,73
2020/12/3,178,23,49
2020/12/4,163,25,57
2020/12/5,191,26,60
2020/12/6,114,59,88
2020/12/7,258,22,44
2020/12/8,153,31,65
2020/12/9,90,73,98
2020/12/10,91,81,108
2020/12/11,152,57,79
2020/12/12,79,96,127
2020/12/13,234,37,53
2020/12/14,89,25,52
2020/12/15,98,33,62
2020/12/16,104,40,68
2020/12/17,82,52,84
2020/12/18,189,29,53
2020/12/19,91,44,78
2020/12/20,163,46,75
2020/12/21,175,38,77
2020/12/22,14,126,166
2020/12/23,124,77,108
2020/12/24,195,28,66
2020/12/25,98,61,98
2020/12/26,163,64,93
2020/12/27,133,90,119
2020/12/28,193,59,86
2020/12/29,181,25,56
2020/12/30,324,19,30
2020/12/31,251,22,42
2021/1/1,101,43,68
2021/1/2,82,71,95
2021/1/3,224,42,64
2021/1/4,223,40,62
2021/1/5,277,21,45
2021/1/6,133,31,82
2021/1/7,323,18,30
2021/1/8,313,17,33
2021/1/9,218,24,51
2021/1/10,274,25,48
2021/1/11,185,33,66
2021/1/12,65,60,129
2021/1/13,66,52,127
2021/1/14,219,45,79
2021/1/15,121,58,113
2021/1/16,256,28,56
2021/1/17,240,24,58
2021/1/18,144,,
2021/1/19,215,38,67
2021/1/20,70,89,118
2021/1/21,89,106,139
2021/1/22,61,123,162
2021/1/23,180,67,90
2021/1/24,94,112,147
2021/1/25,47,140,186
2021/1/26,100,84,112
2021/1/27,104,83,110
2021/1/28,183,22,65
2021/1/29,114,51,86
2021/1/30,34,66,111
2021/1/31,39,89,118
2021/2/1,131,55,79
2021/2/2,233,27,53
2021/2/3,111,54,84
2021/2/4,141,46,79
2021/2/5,15,97,128
2021/2/6,26,78,118
2021/2/7,195,33,59
2021/2/8,50,61,83
2021/2/9,21,96,127
2021/2/10,7,134,178
2021/2/11,6,178,228
2021/2/12,29,158,208
2021/2/13,10,148,198
2021/2/14,78,56,77
2021/2/15,289,20,39
2021/2/16,281,17,40
2021/2/17,296,16,38
2021/2/18,127,38,57
2021/2/19,13,94,124
2021/2/20,14,95,125
2021/2/21,4,120,173
2021/2/22,183,39,67
2021/2/23,189,30,57
2021/2/24,116,45,63
2021/2/25,26,77,103
2021/2/26,38,103,135
2021/2/27,29,111,145
2021/2/28,27,77,103
2021/3/1,170,22,43
2021/3/2,39,58,79
2021/3/3,15,95,125
2021/3/4,8,110,144
2021/3/5,18,81,108
2021/3/6,165,24,51
2021/3/7,89,49,68
2021/3/8,45,85,113
2021/3/9,4,152,202
2021/3/10,10,139,185
2021/3/11,35,84,112
2021/3/12,17,105,138
2021/3/13,29,101,133
2021/3/14,14,142,189
2021/3/15,35,196,484
2021/3/16,120,31,106
2021/3/17,96,40,111
2021/3/18,114,47,71
2021/3/19,53,78,104
2021/3/20,199,42,61
2021/3/21,246,16,45
2021/3/22,9,37,152
2021/3/23,64,56,97
2021/3/24,43,59,105
2021/3/25,46,77,111
2021/3/26,5,136,180
2021/3/27,36,96,127
2021/3/28,22,133,500
2021/3/29,144,25,83
2021/3/30,107,54,129
2021/3/31,14,76,135
2021/4/1,6,81,130
2021/4/2,2,97,128
2021/4/3,84,33,56
2021/4/4,121,27,56
2021/4/5,35,50,73
2021/4/6,98,43,75
2021/4/7,59,43,79
2021/4/8,125,36,68
2021/4/9,108,52,76
2021/4/10,29,74,99
2021/4/11,76,54,75
2021/4/12,78,56,77
2021/4/13,234,17,47
2021/4/14,92,30,63
2021/4/15,66,58,117
2021/4/16,148,22,80
2021/4/17,275,15,46
2021/4/18,164,34,70
2021/4/19,49,53,95
2021/4/20,13,84,116
2021/4/21,10,104,137
2021/4/22,257,32,47
2021/4/23,227,21,53
2021/4/24,154,30,56
2021/4/25,92,29,58
2021/4/26,164,39,62
2021/4/27,81,41,81
2021/4/28,172,19,58
2021/4/29,151,27,70
2021/4/30,327,23,43
2021/5/1,294,28,52
2021/5/2,310,19,48
2021/5/3,165,32,65
2021/5/4,176,29,62
2021/5/5,183,23,68
2021/5/6,33,60,173
2021/5/7,25,118,388
2021/5/8,63,49,116
2021/5/9,188,29,64
2021/5/10,146,24,65
2021/5/11,100,29,72
2021/5/12,60,33,89
2021/5/13,73,54,74
2021/5/14,87,49,68
2021/5/15,58,33,57
2021/5/16,104,14,52
2021/5/17,65,18,76
2021/5/18,36,30,105
2021/5/19,13,36,126
2021/5/20,25,49,101
2021/5/21,13,74,130
2021/5/22,18,56,140
