指标名称,全国建筑钢材成交量:主流贸易商:合计(日)
2020/10/10,258244
2020/10/12,256564
2020/10/13,208671
2020/10/14,197931
2020/10/15,203398
2020/10/16,254983
2020/10/19,245718
2020/10/20,220825
2020/10/21,260707
2020/10/22,219670
2020/10/23,237415
2020/10/26,245053
2020/10/27,240789
2020/10/28,269721
2020/10/29,234037
2020/10/30,248644
2020/11/2,290308
2020/11/3,228195
2020/11/4,260719
2020/11/5,217471
2020/11/6,270925
2020/11/9,304896
2020/11/10,198682
2020/11/11,196262
2020/11/12,212063
2020/11/13,216126
2020/11/16,256277
2020/11/17,253780
2020/11/18,204864
2020/11/19,211455
2020/11/20,209330
2020/11/23,181373
2020/11/24,176602
2020/11/25,157308
2020/11/26,197108
2020/11/27,196881
2020/11/30,206891
2020/12/1,178113
2020/12/2,195549
2020/12/3,168650
2020/12/4,217343
2020/12/7,274890
2020/12/8,204126
2020/12/9,236692
2020/12/10,243419
2020/12/11,196454
2020/12/14,194367
2020/12/15,229933
2020/12/16,222272
2020/12/17,194983
2020/12/18,206851
2020/12/21,291635
2020/12/22,179922
2020/12/23,154408
2020/12/24,158858
2020/12/28,180303
2020/12/29,156157
2020/12/30,181214
2020/12/31,180874
2021/1/4,227437
2021/1/5,185625
2021/1/6,148070
2021/1/7,175332
2021/1/8,155217
2021/1/11,149023
2021/1/12,133357
2021/1/13,127765
2021/1/14,127382
2021/1/15,163003
2021/1/19,111295
2021/1/20,104476
2021/1/21,105053
2021/1/22,84335
2021/1/25,81532
2021/1/26,65772
2021/1/27,61128
2021/1/28,45630
2021/1/29,33890
2021/2/1,24185
2021/2/2,31351
2021/2/3,18345
2021/2/4,12414
2021/2/5,7502
2021/2/22,101029
2021/2/23,75899
2021/2/24,86225
2021/2/25,132342
2021/2/26,87982
2021/3/1,121448
2021/3/2,196876
2021/3/3,179875
2021/3/4,147499
2021/3/5,158605
2021/3/8,183858
2021/3/9,156586
2021/3/10,164316
2021/3/11,240984
2021/3/12,160804
2021/3/15,253387
2021/3/16,169534
2021/3/17,211348
2021/3/18,201454
2021/3/19,196543
2021/3/22,214585
2021/3/23,206128
2021/3/24,287639
2021/3/25,229750
2021/3/26,293231
2021/3/29,289660
2021/3/30,236431
2021/3/31,222700
2021/4/1,350676
2021/4/2,288508
2021/4/6,295484
2021/4/7,243413
2021/4/8,253123
2021/4/9,238015
2021/4/12,212429
2021/4/13,320508
2021/4/14,219217
2021/4/15,233370
2021/4/16,241148
2021/4/19,255202
2021/4/20,286756
2021/4/21,248862
2021/4/22,266652
2021/4/23,307636
2021/4/25,226074
2021/4/26,249779
2021/4/27,258437
2021/4/28,239344
2021/4/29,291620
2021/4/30,204119
2021/5/6,321562
2021/5/7,280522
2021/5/8,287509
2021/5/10,328575
2021/5/11,212533
2021/5/12,218511
2021/5/13,159681
2021/5/14,173080
2021/5/17,164630
2021/5/18,181026
2021/5/19,137738
2021/5/20,210556
2021/5/21,193998
2021/5/24,184026
,
,
,
