指标名称,全国建筑钢材成交量:主流贸易商:合计(日)
2016/7/1,175694
2016/7/4,159268
2016/7/5,130745
2016/7/6,123546
2016/7/7,168439
2016/7/8,147887
2016/7/11,186033
2016/7/12,195296
2016/7/13,154521
2016/7/14,120342
2016/7/15,144406
2016/7/18,147045
2016/7/19,128101
2016/7/20,134279
2016/7/21,215713
2016/7/22,136892
2016/7/25,169283
2016/7/26,170859
2016/7/27,162386
2016/7/28,156542
2016/7/29,128123
2016/8/1,193512
2016/8/2,128967
2016/8/3,125283
2016/8/4,119663
2016/8/5,187171
2016/8/8,210190
2016/8/9,142634
2016/8/10,135345
2016/8/11,159674
2016/8/12,170074
2016/8/15,171443
2016/8/16,216581
2016/8/17,138583
2016/8/18,120297
2016/8/19,152567
2016/8/22,170689
2016/8/23,157960
2016/8/24,139325
2016/8/25,135838
2016/8/26,128699
2016/8/29,148300
2016/8/30,133162
2016/8/31,116131
2016/9/1,141599
2016/9/2,170032
2016/9/5,158045
2016/9/6,130514
2016/9/7,119517
2016/9/8,138685
2016/9/9,194206
2016/9/12,161544
2016/9/13,174115
2016/9/14,144927
2016/9/18,155647
2016/9/19,194002
2016/9/20,199446
2016/9/21,139044
2016/9/22,169668
2016/9/23,158273
2016/9/26,230295
2016/9/27,162019
2016/9/28,188568
2016/9/29,196374
2016/9/30,148826
2016/10/8,204674
2016/10/9,204133
2016/10/10,166169
2016/10/11,184764
2016/10/12,156123
2016/10/13,144067
2016/10/14,190869
2016/10/17,212590
2016/10/18,149301
2016/10/19,164229
2016/10/20,134888
2016/10/21,116561
2016/10/24,167726
2016/10/25,195036
2016/10/26,132374
2016/10/27,122144
2016/10/28,159506
2016/10/31,196004
2016/11/1,191496
2016/11/2,190742
2016/11/3,170747
2016/11/4,190536
2016/11/7,221235
2016/11/8,142945
2016/11/9,166694
2016/11/10,138426
2016/11/11,175718
2016/11/14,140268
2016/11/15,113025
2016/11/16,110565
2016/11/17,137993
2016/11/18,152394
2016/11/21,143946
2016/11/22,191368
2016/11/23,134022
2016/11/24,133673
2016/11/25,167796
2016/11/28,195303
2016/11/29,126874
2016/11/30,105770
2016/12/1,192366
2016/12/2,144259
2016/12/5,208312
2016/12/6,150555
2016/12/7,204499
2016/12/8,148192
2016/12/9,167752
2016/12/12,196483
2016/12/13,135574
2016/12/14,109942
2016/12/15,151247
2016/12/16,170918
2016/12/19,126735
2016/12/20,120942
2016/12/21,147802
2016/12/22,100794
2016/12/23,120879
2016/12/26,108401
2016/12/27,163446
2016/12/28,168388
2016/12/29,126207
2016/12/30,127813
2017/1/3,162899
2017/1/4,136389
2017/1/5,147262
2017/1/6,117175
2017/1/9,137248
2017/1/10,152196
2017/1/11,108777
2017/1/12,104460
2017/1/13,85147
2017/1/16,96981
2017/1/17,56982
2017/1/18,39682
2017/1/19,26350
2017/1/20,16438
2017/2/6,16880
2017/2/7,53714
2017/2/8,65111
2017/2/9,79308
2017/2/10,94885
2017/2/13,171014
2017/2/14,129321
2017/2/15,123890
2017/2/16,159930
2017/2/17,178695
2017/2/20,247791
2017/2/21,166880
2017/2/22,115630
2017/2/23,139396
2017/2/24,140984
2017/2/27,215669
2017/2/28,133106
2017/3/1,163757
2017/3/2,160482
2017/3/3,167450
2017/3/6,159629
2017/3/7,157771
2017/3/8,140024
2017/3/9,129445
2017/3/10,175998
2017/3/13,232077
2017/3/14,174172
2017/3/15,184284
2017/3/16,151684
2017/3/17,159321
2017/3/20,187823
2017/3/21,132254
2017/3/22,117874
2017/3/23,176516
2017/3/24,160334
2017/3/27,153908
2017/3/28,202216
2017/3/29,213215
2017/3/30,167412
2017/3/31,166325
2017/4/1,148331
2017/4/5,220602
2017/4/6,151148
2017/4/7,158962
2017/4/10,144269
2017/4/11,145349
2017/4/12,135462
2017/4/13,197773
2017/4/14,187368
2017/4/17,169445
2017/4/18,161340
2017/4/19,190676
2017/4/20,172353
2017/4/21,238150
2017/4/24,215784
2017/4/25,239638
2017/4/26,247401
2017/4/27,191897
2017/4/28,239603
2017/5/2,220069
2017/5/3,183568
2017/5/4,144756
2017/5/5,178135
2017/5/8,202744
2017/5/9,170278
2017/5/10,227436
2017/5/11,161124
2017/5/12,169107
2017/5/15,210050
2017/5/16,190472
2017/5/17,226417
2017/5/18,192119
2017/5/19,210299
2017/5/22,218842
2017/5/23,146111
2017/5/24,137621
2017/5/25,195660
2017/5/26,195215
2017/5/27,186270
2017/5/31,177551
2017/6/1,168419
2017/6/2,183880
2017/6/5,166373
2017/6/6,193344
2017/6/7,173436
2017/6/8,193381
2017/6/9,192489
2017/6/12,190263
2017/6/13,141048
2017/6/14,198386
2017/6/15,191310
2017/6/16,165495
2017/6/19,197793
2017/6/20,156048
2017/6/21,145681
2017/6/22,150236
2017/6/23,165856
2017/6/26,216889
2017/6/27,199260
2017/6/28,202646
2017/6/29,176126
2017/6/30,159467
2017/7/3,199234
2017/7/4,160652
2017/7/5,167341
2017/7/6,151321
2017/7/7,179411
2017/7/10,224380
2017/7/11,202421
2017/7/12,170784
2017/7/13,171950
2017/7/14,156027
2017/7/17,223358
2017/7/18,173455
2017/7/19,194285
2017/7/20,139826
2017/7/21,170493
2017/7/24,204979
2017/7/25,178612
2017/7/26,156457
2017/7/27,136236
2017/7/28,167541
2017/7/31,227760
2017/8/1,165974
2017/8/2,146184
2017/8/3,193175
2017/8/4,204136
2017/8/7,227590
2017/8/8,134827
2017/8/9,170023
2017/8/10,217386
2017/8/11,145193
2017/8/14,149618
2017/8/15,153136
2017/8/16,155838
2017/8/17,243016
2017/8/18,197758
2017/8/21,232689
2017/8/22,159371
2017/8/23,132241
2017/8/24,180509
2017/8/25,174596
2017/8/28,176613
2017/8/29,154603
2017/8/30,152566
2017/8/31,184925.64
2017/9/1,223030
2017/9/4,191773
2017/9/5,163566
2017/9/6,171206
2017/9/7,153698
2017/9/8,188779
2017/9/11,215023
2017/9/12,201950
2017/9/13,189318
2017/9/14,166236
2017/9/15,162481
2017/9/18,215207
2017/9/19,176270
2017/9/20,178221
2017/9/21,151792
2017/9/22,166511
2017/9/25,212290
2017/9/26,244317
2017/9/27,242420
2017/9/28,197228
2017/9/29,220832
2017/9/30,138133
2017/10/9,236870
2017/10/10,155673
2017/10/11,183670
2017/10/12,207143
2017/10/13,241946
2017/10/16,173552
2017/10/17,156924
2017/10/18,144016
2017/10/19,156585
2017/10/20,236641
2017/10/23,200723
2017/10/24,202664
2017/10/25,170602
2017/10/26,158778
2017/10/27,167824
2017/10/30,187691
2017/10/31,214684
2017/11/1,181864
2017/11/2,191073
2017/11/3,192863
2017/11/6,245498
2017/11/7,179147
2017/11/8,188208
2017/11/9,203888
2017/11/10,220296
2017/11/13,239188
2017/11/14,215637
2017/11/15,164057
2017/11/16,172139
2017/11/17,186197
2017/11/20,231117
2017/11/21,215585
2017/11/22,202727
2017/11/23,180422
2017/11/24,183725
2017/11/27,238843
2017/11/28,214998
2017/11/29,201592
2017/11/30,193670
2017/12/1,161191
2017/12/4,209670
2017/12/5,168801
2017/12/6,131927
2017/12/7,129497
2017/12/8,193362
2017/12/11,194596
2017/12/12,152037
2017/12/13,132390
2017/12/14,123951
2017/12/15,146220
2017/12/18,167801
2017/12/19,128947
2017/12/20,134299
2017/12/21,153954
2017/12/22,168540
2017/12/25,140755
2017/12/26,166389
2017/12/27,168262
2017/12/28,143036
2017/12/29,179955
2018/1/2,187995
2018/1/3,135487
2018/1/4,100929
2018/1/5,126492
2018/1/8,133058
2018/1/9,131708
2018/1/10,149468
2018/1/11,128067
2018/1/12,141615
2018/1/15,190878
2018/1/16,188953
2018/1/17,166961
2018/1/18,203753
2018/1/19,185990
2018/1/22,142012
2018/1/23,120734
2018/1/24,124420
2018/1/25,103156
2018/1/26,80883
2018/1/29,98746
2018/1/30,85229
2018/1/31,71461
2018/2/1,81449
2018/2/2,71634
2018/2/26,97805
2018/2/27,80911
2018/2/28,70917
2018/3/1,94593
2018/3/2,68878
2018/3/5,105628
2018/3/6,127401
2018/3/7,99610
2018/3/8,92403
2018/3/9,135941
2018/3/12,191544
2018/3/13,137417
2018/3/14,218437
2018/3/15,179894
2018/3/16,166851
2018/3/19,163705
2018/3/20,163644
2018/3/21,165353
2018/3/22,155747
2018/3/23,152435
2018/3/26,174587
2018/3/27,274944
2018/3/28,179772
2018/3/29,202988
2018/3/30,275404
2018/4/2,237949
2018/4/3,203364
2018/4/4,203371
2018/4/8,178954
2018/4/9,252014
2018/4/10,232657
2018/4/11,166336
2018/4/12,183342
2018/4/13,230972
2018/4/16,182084
2018/4/17,248529
2018/4/18,235353
2018/4/19,244951
2018/4/20,197645
2018/4/23,293765
2018/4/24,221331
2018/4/25,197943
2018/4/26,198446
2018/4/27,239437
2018/4/28,242970
2018/5/2,287389
2018/5/3,195298
2018/5/4,186454
2018/5/7,217116
2018/5/8,167419
2018/5/9,151481
2018/5/10,189204
2018/5/11,248803
2018/5/14,213044
2018/5/15,205312
2018/5/16,202898
2018/5/17,174454
2018/5/18,167155
2018/5/21,166311
2018/5/22,156579
2018/5/23,156290.787
2018/5/24,223686
2018/5/25,178163.954
2018/5/28,195921.159
2018/5/29,226528.933
2018/5/30,187307.759
2018/5/31,187141.995
2018/6/1,188540.487
2018/6/4,166592.698
2018/6/5,179823.214
2018/6/6,191908.999
2018/6/7,176796.108
2018/6/8,152463.151
2018/6/11,210149.598
2018/6/12,211100.851
2018/6/13,190298.773
2018/6/14,186638.441
2018/6/15,168190.453
2018/6/19,142556.748
2018/6/20,190002.685
2018/6/21,174972
2018/6/22,153126.007
2018/6/25,174560
2018/6/26,142867.069
2018/6/27,185201
2018/6/28,175176.169
2018/6/29,186105.461
2018/7/2,165945.2
2018/7/3,154478.465
2018/7/4,191688.156
2018/7/5,146417.128
2018/7/6,154111
2018/7/9,218369.87
2018/7/10,195433.516
2018/7/11,145875.348
2018/7/12,199035.488
2018/7/13,169718.834
2018/7/16,180274.002
2018/7/17,156723
2018/7/18,196482.727
